"Overall Rank* ","City","Total Score ","Home & Community Safety ","Natural-Disaster Risk ","Financial Safety "
"1","Nashua, NH","86.00","8","27","8"
"2","Columbia, MD","85.97","1","63","85"
"3","South Burlington, VT","85.18","21","36","1"
"4","Gilbert, AZ","84.24","10","14","56"
"5","Warwick, RI","84.03","9","22","68"
"6","Portland, ME","83.99","32","11","2"
"7","Casper, WY","83.92","27","20","11"
"8","Yonkers, NY","83.76","4","39","122"
"9","Burlington, VT","83.70","28","37","10"
"10","Scottsdale, AZ","83.63","17","53","28"
"11","Laredo, TX","82.98","19","24","80"
"12","Virginia Beach, VA","82.95","11","44","63"
"13","Lewiston, ME","82.43","45","12","20"
"14","Chandler, AZ","82.35","29","8","54"
"15","Bismarck, ND","82.09","47","64","6"
"16","Cape Coral, FL","81.67","6","111","132"
"17","Brownsville, TX","81.45","34","2","116"
"18","Raleigh, NC","81.41","42","55","34"
"19","Chesapeake, VA","81.31","20","69","97"
"20","Boise, ID","81.30","38","71","27"
"21","Worcester, MA","81.21","35","17","57"
"22","Madison, WI","81.13","44","89","13"
"23","Cedar Rapids, IA","81.13","26","101","46"
"24","Manchester, NH","80.70","58","30","9"
"25","Aurora, IL","80.63","12","91","134"
"26","Winston-Salem, NC","80.63","51","40","82"
"27","Nampa, ID","80.62","39","49","67"
"28","Peoria, AZ","80.45","40","26","94"
"29","Pearl City, HI","80.41","5","N/A","3"
"30","Pembroke Pines, FL","80.33","15","48","163"
"31","Fargo, ND","80.18","52","77","25"
"32","Mesa, AZ","79.96","50","18","70"
"33","Irvine, CA","79.86","2","150","126"
"34","Cheyenne, WY","79.83","62","97","4"
"35","Henderson, NV","79.82","13","95","151"
"36","Grand Prairie, TX","79.62","22","112","104"
"37","Juneau, AK","79.44","86","50","21"
"38","Tempe, AZ","79.36","70","9","45"
"39","Grand Rapids, MI","79.03","73","7","41"
"40","Sioux Falls, SD","79.00","56","103","24"
"41","Missoula, MT","78.91","59","108","15"
"42","Durham, NC","78.89","74","42","31"
"43","Vancouver, WA","78.82","67","87","30"
"44","Fort Wayne, IN","78.80","61","59","75"
"45","Charlotte, NC","78.75","65","57","42"
